solver,n,k,maxDepth,moveNum,player,row,col,nodes,timeMs,cacheHits
BruteForce,3,3,2,1,X,0,0,81,0.0496,0
BruteForce,3,3,2,2,O,0,1,64,0.0597,0
BruteForce,3,3,2,3,X,0,2,49,0.0228,0
BruteForce,3,3,2,4,O,1,0,36,0.0184,0
BruteForce,3,3,2,5,X,1,1,25,0.0141,0
BruteForce,3,3,2,6,O,1,2,16,0.0092,0
BruteForce,3,3,2,7,X,2,0,5,0.003,0
DP,3,3,2,1,X,0,0,81,0.1585,0
DP,3,3,2,2,O,0,1,64,0.0688,0
DP,3,3,2,3,X,0,2,49,0.0579,0
DP,3,3,2,4,O,1,0,36,0.0478,0
DP,3,3,2,5,X,1,1,25,0.0383,0
DP,3,3,2,6,O,1,2,16,0.0217,0
DP,3,3,2,7,X,2,0,5,0.0061,0
BruteForce,3,3,4,1,X,0,0,3609,2.1466,0
BruteForce,3,3,4,2,O,0,1,2080,0.9607,0
BruteForce,3,3,4,3,X,0,2,1019,0.6487,0
BruteForce,3,3,4,4,O,1,1,492,0.3333,0
BruteForce,3,3,4,5,X,2,1,153,0.1245,0
BruteForce,3,3,4,6,O,1,0,60,0.0591,0
BruteForce,3,3,4,7,X,1,2,13,0.0134,0
BruteForce,3,3,4,8,O,2,2,4,0.0038,0
BruteForce,3,3,4,9,X,2,0,1,0.0013,0
DP,3,3,4,1,X,0,0,2097,2.7235,1008
DP,3,3,4,2,O,0,1,1240,2.0073,588
DP,3,3,4,3,X,0,2,639,0.9104,295
DP,3,3,4,4,O,1,1,324,0.4481,144
DP,3,3,4,5,X,2,1,113,0.2051,40
DP,3,3,4,6,O,1,0,50,0.0881,17
DP,3,3,4,7,X,1,2,13,0.0244,2
DP,3,3,4,8,O,2,2,4,0.0086,0
DP,3,3,4,9,X,2,0,1,0.0029,0
BruteForce,3,3,6,1,X,0,0,73449,64.5335,0
BruteForce,3,3,6,2,O,1,1,24424,20.8838,0
BruteForce,3,3,6,3,X,0,1,5747,8.745,0
BruteForce,3,3,6,4,O,0,2,934,1.0007,0
BruteForce,3,3,6,5,X,2,0,197,0.1954,0
BruteForce,3,3,6,6,O,1,0,46,0.0385,0
BruteForce,3,3,6,7,X,1,2,13,0.0143,0
BruteForce,3,3,6,8,O,2,1,4,0.0056,0
BruteForce,3,3,6,9,X,2,2,1,0.0021,0
DP,3,3,6,1,X,0,0,10437,20.0405,6568
DP,3,3,6,2,O,1,1,4102,6.1994,2440
DP,3,3,6,3,X,0,1,1357,1.9659,741
DP,3,3,6,4,O,0,2,370,0.7811,161
DP,3,3,6,5,X,2,0,125,0.1323,45
DP,3,3,6,6,O,1,0,40,0.0616,11
DP,3,3,6,7,X,1,2,13,0.0166,2
DP,3,3,6,8,O,2,1,4,0.0055,0
DP,3,3,6,9,X,2,2,1,0.0017,0
BruteForce,3,3,8,1,X,0,0,422073,524.684,0
BruteForce,3,3,8,2,O,1,1,59704,81.2053,0
BruteForce,3,3,8,3,X,0,1,7331,12.6503,0
